,operating_margin,current_ratio,liabilities_to_assets,revenue_growth,roe,cash_to_assets,op_margin_trend,operating_margin_sector_pctile,current_ratio_sector_pctile,liabilities_to_assets_sector_pctile,revenue_growth_sector_pctile,roe_sector_pctile,cash_to_assets_sector_pctile
operating_margin,1.0,-0.29306027177265476,0.14235168569259718,-0.07646370342258002,0.2726386422465406,-0.390455707867496,0.2766320565299705,0.5510516207998469,-0.010775044794623915,0.045072674603563186,0.09113731116652385,0.383437903415479,-0.08886936531629061
current_ratio,-0.29306027177265476,1.0,-0.4738181827583647,0.08505383666444917,0.024968891978693272,0.394493699247538,-0.002443446892433074,-0.09312807557589498,0.4759701307013348,-0.33813348572497015,-0.014510557038350958,-0.004933578099206359,0.21750594512312058
liabilities_to_assets,0.14235168569259718,-0.4738181827583647,1.0,-0.04045900829347441,-0.14294319766167285,-0.2804490561103146,0.0007194280064770747,0.021393505081341767,-0.45021983844926056,0.7552138113055161,0.007728219029307109,-0.061070429131202184,-0.17715535084816852
revenue_growth,-0.07646370342258002,0.08505383666444917,-0.04045900829347441,1.0,-0.011798656383908493,0.09615994567705657,0.4348762617288815,0.0057592289309580085,-0.006079209942769372,-0.013952606010570492,0.38701454779001726,0.018452114369891387,0.009203603017199627
roe,0.2726386422465406,0.024968891978693272,-0.14294319766167285,-0.011798656383908493,1.0,-0.08737982455296178,0.10615716626364921,0.24272954504502411,0.0969785781906045,-0.10821316991316939,0.0343766622291487,0.359640330019962,-0.015310835860124508
cash_to_assets,-0.390455707867496,0.394493699247538,-0.2804490561103146,0.09615994567705657,-0.08737982455296178,1.0,0.003224614510796106,-0.21191593174266352,0.27910656082259494,-0.18316279826865806,-0.01160300910534927,-0.15821825062515113,0.6438396053897409
op_margin_trend,0.2766320565299705,-0.002443446892433074,0.0007194280064770747,0.4348762617288815,0.10615716626364921,0.003224614510796106,1.0,0.1694012340521562,-0.005207085685246798,0.00044809461397834,0.28694665455546875,0.11668724349834221,0.0006321825545637244
operating_margin_sector_pctile,0.5510516207998469,-0.09312807557589498,0.021393505081341767,0.0057592289309580085,0.24272954504502411,-0.21191593174266352,0.1694012340521562,1.0,0.05559707148899983,-0.008179058992874152,0.13797033454275145,0.7209004944314653,-0.1180241469365078
current_ratio_sector_pctile,-0.010775044794623915,0.4759701307013348,-0.45021983844926056,-0.006079209942769372,0.0969785781906045,0.27910656082259494,-0.005207085685246798,0.05559707148899983,1.0,-0.545961670817093,0.0155619804808712,0.06837979199573194,0.41629141945990333
liabilities_to_assets_sector_pctile,0.045072674603563186,-0.33813348572497015,0.7552138113055161,-0.013952606010570492,-0.10821316991316939,-0.18316279826865806,0.00044809461397834,-0.008179058992874152,-0.545961670817093,1.0,0.00444392853946097,-0.04429283106982961,-0.1913905898035104
revenue_growth_sector_pctile,0.09113731116652385,-0.014510557038350958,0.007728219029307109,0.38701454779001726,0.0343766622291487,-0.01160300910534927,0.28694665455546875,0.13797033454275145,0.0155619804808712,0.00444392853946097,1.0,0.12242596773117494,0.019506002358057307
roe_sector_pctile,0.383437903415479,-0.004933578099206359,-0.061070429131202184,0.018452114369891387,0.359640330019962,-0.15821825062515113,0.11668724349834221,0.7209004944314653,0.06837979199573194,-0.04429283106982961,0.12242596773117494,1.0,-0.09044400418108635
cash_to_assets_sector_pctile,-0.08886936531629061,0.21750594512312058,-0.17715535084816852,0.009203603017199627,-0.015310835860124508,0.6438396053897409,0.0006321825545637244,-0.1180241469365078,0.41629141945990333,-0.1913905898035104,0.019506002358057307,-0.09044400418108635,1.0
