feature,hgb_importance,hgb_rank,rf_importance,rf_rank
op_margin_trend,0.11500693194340712,1,0.08772677722697682,1
operating_margin,0.036212011630914434,2,0.0390387349774584,2
operating_margin_sector_pctile,0.028323347003225384,3,0.02615605266617661,3
revenue_growth_sector_pctile,0.016192237715899983,4,0.013177481288788017,5
revenue_growth,0.009220244644695386,5,0.013614705237783164,4
roe,0.007552775524439337,6,0.010210925445310581,6
cash_to_assets_sector_pctile,0.005936003021081548,7,0.005511175688312664,10
roe_sector_pctile,0.00477243005950404,8,0.007835306060472369,7
current_ratio,0.004546299553750177,9,0.007003611637388163,8
cash_to_assets,0.003935364968364741,10,0.004901434551534622,12
liabilities_to_assets,0.0038351427116107063,11,0.0059288690839445655,9
current_ratio_sector_pctile,0.0031038134825900785,12,0.005412927682790891,11
liabilities_to_assets_sector_pctile,0.0015862807791725219,13,0.00344920431557979,13
